Age,Age_Bin,Gender,Education,Race,City.US.Raised,Raised.State,Latitude,Longitude,City.US.Fa,Father.State,City.US.Mo,Mother.State,City.US.Curr,Current.State,SurveyType,PI_1181,PI_1182,PI_1042
39,31-40,Male,No_degree,White,Smithfield,VA,39.53819275,-76.35189819,,,,,Bel Air - Harford County,MD,9,NA,NA,NA
20,18-30,Male,HS_diploma,White,Suffolk,VA,36.70440674,-76.60970306,Anaconda,MT,Bismarck,ND,Suffolk,VA,9,NA,NA,NA
33,31-40,Female,HS_diploma,White,Dallastown,PA,40.28970337,-76.82299805,York,PA,York,PA,Dauphin,PA,9,NA,NA,NA
25,18-30,Male,Bachelors,White,Conshohocken,PA,40.11579895,-75.28420258,Lebanon,PA,Brooklyn,NY,Bridgeport,PA,9,NA,NA,NA
58,51-60,Female,Associates,White,Phoenix,NY,42.98579407,-77.4280014,Syracuse,NY,Syracuse,NY,Canandaigua,NY,9,NA,NA,NA
30,18-30,Female,No_degree,White,Shelbyville,TN,36.06790161,-86.7193985,,,,,Wartrace,TN,9,NA,NA,NA
27,18-30,Female,Bachelors,Hispanic,,,38.98410034,-77.38269806,,,,,Providence District - Fairfax County,VA,9,NA,NA,NA
32,31-40,Male,HS_diploma,White,Pearl River,LA,30.27119446,-89.77050018,Pearl River,LA,Pearl River,LA,Pearl River,LA,9,NA,NA,NA
32,31-40,Male,Bachelors,White,Grand Island,NY,43.02079773,-89.36000061,Tonawanda,NY,Tonawanda,NY,Fitchburg,WI,9,NA,NA,NA
25,18-30,Male,Bachelors,Black,West Hempstead,NY,40.6578064,-73.67199707,,,Brownville,NY,West Hempstead,NY,9,NA,NA,NA
25,18-30,Male,Bachelors,Pacific,Bethel,CT,40.71429443,-74.0059967,Bolton,CT,,,Washington,DC,9,NA,NA,NA
23,18-30,Female,Bachelors,White,Mesa,AZ,35.83659363,-106.3093033,Dallas,TX,Dallas,TX,Los Alamos,NM,9,NA,NA,NA
29,18-30,Male,Graduate,White,Sandia Knolls,NM,39.19099426,-108.7093964,Cherry Creek,CO,Cherry Creek,CO,Grand Junction,CO,9,NA,NA,NA
31,31-40,Male,Bachelors,Asian,Los Angeles,CA,34.07640076,-118.2626038,Los Angeles,CA,Los Angeles,CA,Los Angeles,CA,9,NA,NA,NA
31,31-40,Female,Graduate,White,Brandon,MS,32.33590698,-90.15809631,Pearl,MS,Brandon,MS,Brandon,MS,9,NA,NA,NA
26,18-30,Male,Bachelors,White,Somerville,MA,42.38279724,-71.09549713,Boston,MA,Boston,MA,Somerville,MA,9,NA,NA,NA
25,18-30,Male,No_degree,Hispanic,Los Angeles,CA,33.77319336,-118.339798,,,,,Los Angeles,CA,9,NA,NA,NA
30,18-30,Female,Associates,White,Winter Haven,FL,27.97309875,-81.67359924,,,Milesburg,PA,Winter Haven,FL,9,NA,NA,NA
56,51-60,Female,HS_diploma,White,Louisville,KY,37.36459351,-85.37580109,,,,,Clarkson,KY,9,NA,NA,NA
25,18-30,Female,No_degree,Asian,North Las Vegas,NV,36.27290344,-115.1333008,El Paso,TX,,,North Las Vegas,NV,9,NA,NA,NA
38,31-40,Female,Bachelors,White,Brentford,SD,43.7183075,-98.02619934,Brentford,SD,Brentford,SD,Mitchell,SD,9,NA,NA,NA
28,18-30,Female,No_degree,White,Itasca Township,MN,47.87190247,-97.15029907,,,Itasca Township,MN,Itasca Township,MN,9,NA,NA,NA
