Age,Age_Bin,Gender,Education,Income,Race,RaisedCity,RaisedState,RaisedZip,RaisedPlace,Latitude,Longitude,RaisedYears,PR_1156,PR_1155,PR_1154,PR_1153,PR_1152,PR_1151,PR_1151INC,PR_1150,PR_1149,PR_1148,PR_1147,PR_1146,PR_1071,PR_1070,PR_1067,PR_1066,PR_1065,PR_1048,PR_1009,PR_1007,PI_1159,PI_1158,PI_1157,PI_1094,PI_1054,PI_1049,PI_1047,PI_1040,PI_1033,PI_1030,PI_1029,CU_1079,CU_1078,CU_1060.1,CU_1027.1,CU_1020.1,CU_1019.1,CG_1082,CG_1081,CG_1080,CG_1026.1,CG_1025.1,CG_1024.1,CG_1023,CG_1021.1,CG_1018.1,AmazonID,ResponseID,LocationLatitude,LocationLongitude,CG_Min,CU_Max,Min_Max_Discard,CG_Score,CU_Score,C_Sum_Discard,Discard?,MomCity,MomState,MomCountry,DadCity,DadState,DadCountry,CurrentCity,CurrentState,CurrentZip,CurrentYears,Race_Other,RaisedOther,Languages,LanguageList
52,51-60,Female,Bachelors degree,$12500 - $24999,White,Danville,California,94526,"Danville, California 94526",37.800694,-121.981435,17,1,1,2,2,2,5,4,1,5,5,1,3,1,2,2,5,,1,2,1,2,1,2,1,2,4,1,4,5,2,2,2,2,2,1,1,1,1,5,5,5,5,5,4,5,5,A26RO8GGTQAXGG,R_2WJBKC3PpFY3fvU,43.41589355,-123.1134033,1,2,Consider,4.444444444,1.5,No,Flag,Palm Springs,California,,Santa Monica,California,,Eugene,Oregon,97404,23,,,1,english
32,31-40,Female,Bachelors degree,$87500 - $99999,White,Columbia,California,95310,"Columbia, California 95310",38.036311,-120.401306,17,3,2,1,5,5,5,4,2,3,5,1,3,1,1,1,3,,1,2,2,1,1,1,1,1,1,4,1,5,5,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,AQP0YX51PZ06C,R_TpESmNErpsa7de1,44.06900024,-123.0825043,5,1,No,5,1,No,No,Bullhead City,Arizona,,Hayward,California,,Eugene,Oregon,97402,10,,,1,English
32,31-40,Female,High school graduate,$12500 - $24999,White,Burlingame,California,00000,"Burlingame, California",37.577869,-122.348090,17,3,2,2,3,3,5,3,3,4,5,2,5,1,1,1,5,,2,1,1,1,1,1,1,5,1,2,1,5,3,2,3,1,1,1,1,1,5,5,4,5,3,5,5,5,5,A2YYQJ3JWA2KGD,R_9Y4kmmexVPEyLzX,37.98429871,-120.3899994,3,3,No,4.666666667,1.333333333,No,No,Burlingame,California,,Burlingame,California,,San Andreas,California,95249,10,,,1,English
42,41-50,Male,Bachelors degree,$25000 - $37499,White,Pleasanton,California,94582,"Pleasanton, California 94582",37.763947,-121.913176,16,2,2,5,3,3,4,2,2,3,4,2,5,2,1,1,4,,1,1,2,2,2,2,1,4,1,2,3,3,2,2,2,1,2,1,2,2,5,5,4,5,3,5,5,5,4,AXSDD92JCDPV7,R_W1ocAvJbuKllCEh,37.77490234,-122.4194031,3,2,No,4.555555556,1.666666667,No,No,Auburn,California,,Applegate,California,,Auburn,California,95603,1,,,1,Spanish
36,31-40,Female,Some college no degree,$75000 - $87499,White,Torrance,California,90502,"Torrance, California 90502",33.833171,-118.290666,15,1,5,3,2,5,3,3,3,5,2,2,1,1,1,2,5,,2,2,1,1,1,2,4,1,2,2,4,5,4,5,2,1,1,2,1,1,4,4,5,5,2,5,5,5,2,AS8BGRD5QFUTQ,R_2v183eRqy2zapyY,33.69219971,-117.2483978,2,2,Consider,4.111111111,1.333333333,No,Flag,Birmingham,Alabama,,London,Outside the United States,USA,Wildomar,California,92595,7,,,1,English
22,18-30,Female,Bachelors degree,$100000 or more,White,Roseville,California,95747,"Roseville, California 95747",38.790254,-121.377033,14,2,4,5,5,5,5,5,1,5,5,2,4,2,2,3,5,,1,4,2,1,1,1,1,1,1,1,4,5,5,3,1,2,1,1,1,1,5,5,5,5,5,5,5,5,5,AA0GFKLBP6UXI,R_3CZxsnon0nuse1w,38.88490295,-77.0184021,5,2,No,5,1.166666667,No,No,San Jose,California,,San Francisco,California,,Prescott Valley,Arizona,86314,4,,,1,English
54,51-60,Female,Some college no degree,$37500 - $49999,White,Byron,California,00000,"Byron, California",37.867147,-121.638006,13,1,4,2,2,5,3,4,2,5,5,3,4,3,3,1,4,,2,4,4,1,2,1,1,3,4,1,2,4,2,2,2,1,2,1,1,3,5,5,4,5,5,5,5,5,5,ANXJRYZDKHNDV,R_25MI7TjjAdVbgse,38.04600525,-121.3549957,4,3,No,4.888888889,1.666666667,No,No,Sioux City,Iowa,,OshKosh,Wisconsin,,Stockton,California,95219,15,,,1,English
47,41-50,Female,Bachelors degree,$50000 - $62499,White,Concord,California,94521,"Concord, California 94521",37.953810,-121.964374,13,2,3,3,3,4,4,,2,5,5,2,5,2,2,2,3,2,3,2,2,1,1,1,2,4,2,5,2,5,3,5,5,1,1,1,1,1,4,5,4,5,4,5,5,5,4,APLBF6JY2C1QZ,R_20NBMT60i7u7Hpf,37.23620605,-121.8289032,4,5,Consider,4.555555556,1.666666667,No,Flag,Brentwood,California,,Brentwood,California,,Modesto,California,95350,14,,,1,English
28,18-30,Male,High school graduate,$12500 - $24999,White,sacramento,California,95843,"sacramento, California 95843",38.714907,-121.359881,12,2,3,2,2,2,2,2,4,4,1,1,1,2,4,3,1,,3,5,5,1,2,2,2,1,2,2,1,2,5,4,2,2,2,2,2,1,5,5,3,5,5,4,5,5,5,A2P065E9CYMYJL,R_1fjac2ZeMQw1Hpc,38.58529663,-121.4004974,3,2,No,4.666666667,1.833333333,No,No,anaheim,California,,mesa,Arizona,,sacramento,California,95841,10,,,1,english
30,18-30,Male,High school graduate,$37500 - $49999,Black/African American,Los Angeles,California,90018,"Los Angeles, California 90018",34.030997,-118.319893,12,2,1,1,1,5,5,,2,2,2,1,1,5,1,1,5,4,1,1,1,2,1,1,1,1,1,5,1,2,5,2,1,2,1,2,2,1,5,5,2,5,1,5,5,5,4,AGD3F5413US6H,R_Y4V2mZc0yaJx4WJ,34.02850342,-118.3177032,1,2,Consider,4.111111111,1.5,No,Flag,Los Angeles,California,,Los Angeles,California,,Los Angeles,California,90043,10,,,1,English
23,18-30,Male,Bachelors degree,$100000 or more,Asian,Huntington Beach,California,92647,"Huntington Beach, California 92647",33.722267,-118.001042,12,4,3,3,2,5,3,,2,5,1,2,2,3,1,1,5,5,3,2,1,2,1,2,1,2,2,3,3,2,5,4,2,1,1,1,1,1,4,5,5,5,5,5,5,5,5,AMDX0UNZS4A1G,R_33j66wrEN9PfAjV,33.72650146,-118.006897,4,2,No,4.888888889,1.166666667,No,No,"Dhaka, Bangladesh",Outside the United States,Bangladesh,Dhaka,Outside the United States,Bangladesh,Huntington Beach,California,92647,12,,,3,"Spanish, Bangla, Hindi"
32,31-40,Male,Bachelors degree,$62500 - $74999,Black/African American,denver,California,80220,"denver, California 80220",39.745181,-104.991907,10,3,1,4,1,3,1,,3,3,1,1,1,3,1,1,4,5,2,3,4,1,1,1,3,2,1,5,1,5,5,5,3,3,1,1,1,1,5,5,5,5,5,5,5,5,4,AF9NG1PF59D1U,R_3MnArCLUZDngCP9,26.15339661,-80.22489929,4,3,No,4.888888889,1.666666667,No,No,norfolk,Virginia,,portsmouth,Virginia,,ft lauderdale,Florida,33313,3,,,1,english
52,51-60,Female,Bachelors degree,$25000 - $37499,Other,Brisbane,California,94005,"Brisbane, California 94005",37.694841,-122.407083,10,2,1,4,2,3,2,3,1,2,1,2,2,1,1,1,1,,1,1,1,1,1,1,1,2,2,2,2,3,4,1,3,2,1,1,1,1,4,5,3,5,3,5,5,5,5,A40LU73SS18IW,R_Om873vZZlEiL0Vb,47.94219971,-122.2397995,3,3,No,4.444444444,1.5,No,No,Tokyo,Outside the United States,Japan,Grand Falls,North Dakota,,Redmond,Washington,98052,10,Asian & Caucasian,,1,English
30,18-30,Male,Some college no degree,$62500 - $74999,White,Denver,Colorado,80209,"Denver, Colorado 80209",39.706930,-104.956408,30,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,,2,2,1,2,1,2,2,4,2,2,2,3,1,2,1,4,2,1,1,1,3,5,5,2,4,5,5,5,5,A1KBO7QFRR8FLM,R_PHxAHQKtFEJLjbP,47.54200745,-122.3123016,2,4,Consider,4.333333333,1.666666667,No,Flag,"new york,",New York,,baltimore,Maryland,,Denver,Colorado,80209,30,,,1,English
